[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | + Loading Game Object "SCIFI_Brick_0"
[15:08:02]	INFO    | +	 Adding transform data to new gameObject
[15:08:02]	INFO    | +	 Adding Model to new gameObject
[15:08:02]	INFO    | +		 Loading new OBJ file
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	SUCCESS | Opened file "Assets/scifi_06.obj"
[15:08:02]	SUCCESS | Opened file "Assets/scifi_06.mtl"
[15:08:02]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Concrete_BrickWall_1K_albedo.png"
[15:08:02]	SUCCESS | Opened file "Assets/scifi_06.mtl"
[15:08:02]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | + Loading Game Object "SCIFI_Brick_1"
[15:08:02]	INFO    | +	 Adding transform data to new gameObject
[15:08:02]	INFO    | +	 Adding Model to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | + Loading Game Object "SCIFI_Brick_2"
[15:08:02]	INFO    | +	 Adding transform data to new gameObject
[15:08:02]	INFO    | +	 Adding Model to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | + Loading Game Object "SCIFI_Brick_3"
[15:08:02]	INFO    | +	 Adding transform data to new gameObject
[15:08:02]	INFO    | +	 Adding Model to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | + Loading Game Object "SCIFI_Brick_4"
[15:08:02]	INFO    | +	 Adding transform data to new gameObject
[15:08:02]	INFO    | +	 Adding Model to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | + Loading Game Object "SCIFI_Brick_5"
[15:08:02]	INFO    | +	 Adding transform data to new gameObject
[15:08:02]	INFO    | +	 Adding Model to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | + Loading Game Object "SCIFI_Brick_6"
[15:08:02]	INFO    | +	 Adding transform data to new gameObject
[15:08:02]	INFO    | +	 Adding Model to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:02]	INFO    | + Loading Game Object "SCIFI_Brick_7"
[15:08:02]	INFO    | +	 Adding transform data to new gameObject
[15:08:02]	INFO    | +	 Adding Model to new gameObject
[15:08:02]	        |
[15:08:02]	        |------------------------------------------------------------------------
[15:08:02]	        |
[15:08:03]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:03]	        |
[15:08:03]	        |------------------------------------------------------------------------
[15:08:03]	        |
[15:08:03]	INFO    | + Loading Game Object "SCIFI_Brick_8"
[15:08:03]	INFO    | +	 Adding transform data to new gameObject
[15:08:03]	INFO    | +	 Adding Model to new gameObject
[15:08:03]	        |
[15:08:03]	        |------------------------------------------------------------------------
[15:08:03]	        |
[15:08:03]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:03]	        |
[15:08:03]	        |------------------------------------------------------------------------
[15:08:03]	        |
[15:08:03]	INFO    | + Loading Game Object "SCIFI_Damage_0"
[15:08:03]	INFO    | +	 Adding transform data to new gameObject
[15:08:03]	INFO    | +	 Adding Model to new gameObject
[15:08:03]	INFO    | +		 Loading new OBJ file
[15:08:03]	        |
[15:08:03]	        |------------------------------------------------------------------------
[15:08:03]	        |
[15:08:03]	SUCCESS | Opened file "Assets/scifi_07.obj"
[15:08:03]	SUCCESS | Opened file "Assets/scifi_07.mtl"
[15:08:03]	SUCCESS | Loaded texture "Assets/Textures/TexturesCom_Concrete_Damaged_1K_albedo.png"
[15:08:03]	SUCCESS | Opened file "Assets/scifi_07.mtl"
[15:08:03]	INFO    | +	 Adding box collider 3D to new gameObject
[15:08:03]	        |
[15:08:03]	        |------------------------------------------------------------------------
[15:08:03]	        |
[15:08:03]	INFO    | + Loading Game Object "SCIFI_Damage_1"
[15:08:03]	INFO    | +	 Adding transform data to new gameObject
